check,SUBJECT,type,online (fall),hybrid (fall),in-person (fall),online (spring),hybrid (spring),in-person (spring),trinity/pratt,major/minor/cert/none,BS/BA/both,ROTC,language,NOTES,Additional Notes
x,Biochem:,,1,0,0,2,0,0,,,,0,0,,
x,Civic Engagement and Social Change:,,0,1,0,1,1,0,t,certificate,,0,0,,
x,Energy:,,1,2,0,2,1,0,t,certificate,,0,0,,
x,Genome sciences and policy:,,0,1,1,0,0,0,,,,0,0,,
x,Molecular genetics and microbiology:,,0,2,1,0,1,0,,,,0,0,,
x,Study of sexualities:,,5,3,0,2,1,0,t,minor,,0,0,,
x,Pharm and Cancer Biology:,,0,1,0,1,1,0,,,,0,0,,
x,Arts and Science IDEAS,,0,0,0,2,0,0,,,,0,0,,
x,Immunology:,,0,0,0,0,0,0,,,,0,0,,
x,Neurobiology:,,0,0,0,0,0,0,,,,0,0,,
